,training_set,test_set,feature_set,feature_type,model_type,accuracy
193,neutral_sadness,neutral_sadness,sadness,distance,RandomForestClassifier,96.56716417910447
194,neutral_sadness,neutral_sadness,neutral_sadness,distance,RandomForestClassifier,98.68656716417911
195,neutral,neutral,neutral,distance,GradientBoostingClassifier,69.85074626865672
196,neutral,neutral,sadness,distance,GradientBoostingClassifier,65.07462686567165
197,neutral,neutral,neutral_sadness,distance,GradientBoostingClassifier,75.16417910447761
198,neutral,sadness,neutral,distance,GradientBoostingClassifier,45.19402985074627
199,neutral,sadness,sadness,distance,GradientBoostingClassifier,38.74626865671642
200,neutral,sadness,neutral_sadness,distance,GradientBoostingClassifier,48.41791044776119
201,sadness,neutral,neutral,distance,GradientBoostingClassifier,36.53731343283582
202,sadness,neutral,sadness,distance,GradientBoostingClassifier,24.776119402985074
203,sadness,neutral,neutral_sadness,distance,GradientBoostingClassifier,35.22388059701492
204,sadness,sadness,neutral,distance,GradientBoostingClassifier,72.17910447761193
205,sadness,sadness,sadness,distance,GradientBoostingClassifier,66.92537313432835
206,sadness,sadness,neutral_sadness,distance,GradientBoostingClassifier,76.17910447761193
207,neutral_sadness,neutral_sadness,neutral,distance,GradientBoostingClassifier,85.22388059701493
208,neutral_sadness,neutral_sadness,sadness,distance,GradientBoostingClassifier,78.71641791044776
209,neutral_sadness,neutral_sadness,neutral_sadness,distance,GradientBoostingClassifier,83.5223880597015
210,neutral,neutral,neutral,distance,ExtraTreesClassifier,97.61194029850746
211,neutral,neutral,sadness,distance,ExtraTreesClassifier,95.52238805970148
212,neutral,neutral,neutral_sadness,distance,ExtraTreesClassifier,98.08955223880596
213,neutral,sadness,neutral,distance,ExtraTreesClassifier,89.07462686567163
214,neutral,sadness,sadness,distance,ExtraTreesClassifier,80.11940298507463
215,neutral,sadness,neutral_sadness,distance,ExtraTreesClassifier,90.2089552238806
216,sadness,neutral,neutral,distance,ExtraTreesClassifier,80.53731343283583
217,sadness,neutral,sadness,distance,ExtraTreesClassifier,72.35820895522387
218,sadness,neutral,neutral_sadness,distance,ExtraTreesClassifier,83.76119402985074
219,sadness,sadness,neutral,distance,ExtraTreesClassifier,99.1641791044776
220,sadness,sadness,sadness,distance,ExtraTreesClassifier,98.98507462686567
221,sadness,sadness,neutral_sadness,distance,ExtraTreesClassifier,99.82089552238806
222,neutral_sadness,neutral_sadness,neutral,distance,ExtraTreesClassifier,99.07462686567165
223,neutral_sadness,neutral_sadness,sadness,distance,ExtraTreesClassifier,97.76119402985074
224,neutral_sadness,neutral_sadness,neutral_sadness,distance,ExtraTreesClassifier,99.64179104477611
225,neutral,neutral,neutral,distance,MLPClassifier,96.4776119402985
226,neutral,neutral,sadness,distance,MLPClassifier,96.29850746268656
227,neutral,neutral,neutral_sadness,distance,MLPClassifier,97.25373134328358
228,neutral,sadness,neutral,distance,MLPClassifier,80.59701492537314
229,neutral,sadness,sadness,distance,MLPClassifier,80.0
230,neutral,sadness,neutral_sadness,distance,MLPClassifier,87.34328358208955
231,sadness,neutral,neutral,distance,MLPClassifier,75.46268656716418
232,sadness,neutral,sadness,distance,MLPClassifier,69.85074626865672
233,sadness,neutral,neutral_sadness,distance,MLPClassifier,80.23880597014926
234,sadness,sadness,neutral,distance,MLPClassifier,98.92537313432835
235,sadness,sadness,sadness,distance,MLPClassifier,99.04477611940298
236,sadness,sadness,neutral_sadness,distance,MLPClassifier,99.58208955223881
237,neutral_sadness,neutral_sadness,neutral,distance,MLPClassifier,98.35820895522389
238,neutral_sadness,neutral_sadness,sadness,distance,MLPClassifier,97.55223880597015
239,neutral_sadness,neutral_sadness,neutral_sadness,distance,MLPClassifier,98.92537313432837
