,training_set,test_set,feature_set,feature_type,model_type,accuracy
205,anger,anger,anger,distance,GradientBoostingClassifier,62.758620689655174
206,anger,anger,neutral_anger,distance,GradientBoostingClassifier,71.44827586206895
207,neutral_anger,neutral_anger,neutral,distance,GradientBoostingClassifier,78.24137931034484
208,neutral_anger,neutral_anger,anger,distance,GradientBoostingClassifier,68.62068965517241
209,neutral_anger,neutral_anger,neutral_anger,distance,GradientBoostingClassifier,75.44827586206895
210,neutral,neutral,neutral,distance,ExtraTreesClassifier,97.51724137931033
211,neutral,neutral,anger,distance,ExtraTreesClassifier,90.48275862068965
212,neutral,neutral,neutral_anger,distance,ExtraTreesClassifier,97.24137931034483
213,neutral,anger,neutral,distance,ExtraTreesClassifier,81.37931034482757
214,neutral,anger,anger,distance,ExtraTreesClassifier,54.413793103448285
215,neutral,anger,neutral_anger,distance,ExtraTreesClassifier,74.27586206896551
216,anger,neutral,neutral,distance,ExtraTreesClassifier,73.99999999999999
217,anger,neutral,anger,distance,ExtraTreesClassifier,44.3448275862069
218,anger,neutral,neutral_anger,distance,ExtraTreesClassifier,64.89655172413794
219,anger,anger,neutral,distance,ExtraTreesClassifier,99.10344827586206
220,anger,anger,anger,distance,ExtraTreesClassifier,95.44827586206897
221,anger,anger,neutral_anger,distance,ExtraTreesClassifier,99.51724137931035
222,neutral_anger,neutral_anger,neutral,distance,ExtraTreesClassifier,99.13793103448276
223,neutral_anger,neutral_anger,anger,distance,ExtraTreesClassifier,95.44827586206897
224,neutral_anger,neutral_anger,neutral_anger,distance,ExtraTreesClassifier,98.79310344827586
225,neutral,neutral,neutral,distance,MLPClassifier,96.27586206896551
226,neutral,neutral,anger,distance,MLPClassifier,87.86206896551724
227,neutral,neutral,neutral_anger,distance,MLPClassifier,92.62068965517243
228,neutral,anger,neutral,distance,MLPClassifier,72.0
229,neutral,anger,anger,distance,MLPClassifier,56.00000000000001
230,neutral,anger,neutral_anger,distance,MLPClassifier,68.27586206896552
231,anger,neutral,neutral,distance,MLPClassifier,69.44827586206895
232,anger,neutral,anger,distance,MLPClassifier,47.93103448275862
233,anger,neutral,neutral_anger,distance,MLPClassifier,59.58620689655173
234,anger,anger,neutral,distance,MLPClassifier,99.10344827586208
235,anger,anger,anger,distance,MLPClassifier,95.86206896551724
236,anger,anger,neutral_anger,distance,MLPClassifier,97.86206896551724
237,neutral_anger,neutral_anger,neutral,distance,MLPClassifier,98.17241379310346
238,neutral_anger,neutral_anger,anger,distance,MLPClassifier,95.3103448275862
239,neutral_anger,neutral_anger,neutral_anger,distance,MLPClassifier,97.51724137931035
